,race_label,grouping
0,O,0.0
1,H,1.0
2,B,2.0
3,H,1.0
4,B,1.0
5,H,1.0
6,W,1.0
7,W,1.0
8,W,1.0
9,W,1.0
10,B,0.0
11,H,0.0
12,B,4.0
13,B,0.0
14,B,2.0
15,B,0.0
16,B,1.0
17,H,1.0
18,B,1.0
19,O,0.0
20,H,1.0
21,H,1.0
22,B,2.0
23,B,1.0
24,B,1.0
25,H,1.0
26,H,1.0
27,B,1.0
28,O,1.0
29,H,1.0
30,O,1.0
31,W,1.0
32,B,1.0
33,H,0.0
34,H,1.0
35,H,1.0
36,B,2.0
37,H,1.0
38,H,1.0
39,H,1.0
40,H,4.0
41,B,2.0
42,B,2.0
43,H,0.0
44,H,2.0
45,W,4.0
46,W,1.0
47,B,4.0
48,W,2.0
49,H,4.0
50,B,2.0
51,H,2.0
52,B,1.0
53,B,1.0
54,B,1.0
55,H,1.0
56,B,1.0
57,H,2.0
58,H,1.0
59,H,1.0
60,B,2.0
61,B,1.0
62,H,1.0
63,W,2.0
64,B,0.0
65,H,1.0
66,B,1.0
67,B,2.0
68,H,1.0
69,B,1.0
70,B,1.0
71,W,2.0
72,H,4.0
73,B,4.0
74,H,2.0
75,H,2.0
76,H,1.0
77,B,1.0
78,H,2.0
79,B,2.0
80,B,2.0
81,H,2.0
82,H,1.0
83,B,2.0
84,W,2.0
85,B,4.0
86,H,1.0
87,B,2.0
88,W,1.0
89,B,4.0
90,B,1.0
91,H,2.0
92,B,1.0
93,B,1.0
94,B,0.0
95,H,1.0
96,B,4.0
97,B,2.0
98,H,1.0
99,B,2.0
100,H,1.0
101,B,2.0
102,H,2.0
103,B,2.0
104,B,1.0
105,B,2.0
106,B,1.0
107,H,1.0
108,B,2.0
109,B,1.0
110,H,1.0
111,H,1.0
112,H,2.0
113,B,1.0
114,H,1.0
115,B,2.0
116,W,1.0
117,B,1.0
118,B,1.0
119,H,4.0
120,H,1.0
121,H,1.0
122,H,2.0
123,H,0.0
124,B,2.0
125,W,0.0
126,B,2.0
127,H,2.0
128,H,1.0
129,B,2.0
130,B,1.0
131,B,2.0
132,B,4.0
133,W,2.0
134,H,2.0
135,B,1.0
136,H,1.0
137,B,2.0
138,B,1.0
139,H,2.0
140,H,2.0
141,H,4.0
142,B,2.0
143,B,2.0
144,B,2.0
145,H,2.0
146,H,1.0
147,W,2.0
148,B,2.0
149,H,2.0
150,B,4.0
151,B,1.0
152,B,4.0
153,H,1.0
154,B,1.0
155,B,2.0
156,B,2.0
157,H,2.0
158,H,2.0
159,B,1.0
160,H,1.0
161,B,3.0
162,B,2.0
163,B,2.0
164,B,1.0
165,W,1.0
166,B,1.0
167,B,1.0
168,H,1.0
169,B,2.0
170,B,1.0
171,W,1.0
172,H,1.0
173,W,1.0
174,H,1.0
175,H,2.0
176,O,1.0
177,H,1.0
178,H,1.0
179,H,1.0
180,H,1.0
181,W,2.0
182,H,1.0
183,H,1.0
184,W,4.0
185,B,4.0
186,H,2.0
187,B,2.0
188,H,4.0
189,B,2.0
190,B,1.0
191,W,2.0
192,H,1.0
193,B,1.0
194,B,3.0
195,B,2.0
196,B,2.0
197,O,3.0
198,H,3.0
199,B,3.0
200,H,3.0
201,H,2.0
202,B,3.0
203,B,3.0
204,H,1.0
205,O,2.0
206,H,2.0
207,H,3.0
208,W,3.0
209,B,2.0
210,H,2.0
211,B,2.0
212,H,2.0
213,H,3.0
214,B,3.0
215,B,2.0
216,H,3.0
217,W,2.0
218,B,3.0
219,B,4.0
220,O,3.0
221,H,4.0
222,H,3.0
223,H,2.0
224,H,2.0
225,B,4.0
226,H,2.0
227,B,2.0
228,B,3.0
229,H,2.0
230,B,2.0
231,W,3.0
232,W,0.0
233,H,4.0
234,H,2.0
235,H,2.0
236,H,3.0
237,W,3.0
238,B,2.0
239,B,2.0
240,B,4.0
241,B,3.0
242,O,3.0
243,B,2.0
244,W,3.0
245,H,3.0
246,W,3.0
247,H,2.0
248,B,2.0
249,H,3.0
250,H,3.0
251,H,4.0
252,H,3.0
253,H,3.0
254,B,3.0
255,B,2.0
256,H,3.0
257,H,2.0
258,H,2.0
259,B,2.0
260,H,2.0
261,B,2.0
262,H,2.0
263,B,2.0
264,H,2.0
265,H,2.0
266,B,3.0
267,H,2.0
268,B,0.0
269,B,2.0
270,H,0.0
271,H,0.0
272,B,4.0
273,H,3.0
274,B,2.0
275,H,4.0
276,H,3.0
277,H,2.0
278,O,3.0
279,B,2.0
280,B,3.0
281,B,3.0
282,W,2.0
283,W,2.0
284,B,2.0
285,B,2.0
286,B,0.0
287,H,3.0
288,H,2.0
289,B,4.0
290,H,3.0
291,H,3.0
292,B,3.0
293,H,3.0
294,B,3.0
295,H,3.0
296,B,2.0
297,H,2.0
298,H,3.0
299,B,0.0
300,B,3.0
301,B,2.0
302,H,3.0
303,H,4.0
304,H,3.0
305,H,3.0
306,H,0.0
307,B,4.0
308,H,3.0
309,B,0.0
310,H,3.0
311,W,2.0
312,W,0.0
313,H,3.0
314,W,4.0
315,H,2.0
316,B,3.0
317,B,3.0
318,B,4.0
319,B,4.0
320,B,2.0
321,B,2.0
322,B,2.0
323,H,3.0
324,H,2.0
325,B,4.0
326,H,2.0
327,B,3.0
328,W,3.0
329,B,2.0
330,W,4.0
331,W,3.0
332,H,3.0
333,H,3.0
334,W,2.0
335,W,0.0
336,B,2.0
337,B,2.0
338,H,2.0
339,B,3.0
340,H,2.0
341,W,3.0
342,H,2.0
343,B,0.0
344,H,4.0
345,B,3.0
346,H,4.0
347,B,2.0
348,B,3.0
349,H,3.0
350,B,2.0
351,H,3.0
352,H,3.0
353,H,4.0
354,H,2.0
355,H,4.0
356,B,3.0
357,H,2.0
358,H,3.0
359,H,4.0
360,H,3.0
361,H,3.0
362,B,2.0
363,B,3.0
364,B,3.0
365,H,2.0
366,H,3.0
367,H,3.0
368,H,3.0
369,B,4.0
370,B,3.0
371,B,3.0
372,W,4.0
373,B,4.0
374,H,3.0
375,H,4.0
376,B,3.0
377,B,4.0
378,H,2.0
379,H,2.0
380,H,3.0
381,B,2.0
382,B,2.0
383,B,3.0
384,H,3.0
385,W,4.0
386,B,4.0
387,H,3.0
388,B,2.0
389,W,2.0
390,H,2.0
391,H,4.0
392,H,3.0
393,H,3.0
394,B,3.0
395,H,3.0
396,B,2.0
397,B,2.0
398,B,3.0
399,B,2.0
400,H,3.0
401,H,3.0
402,H,2.0
403,B,2.0
404,H,3.0
405,W,2.0
406,H,3.0
407,B,3.0
408,B,3.0
409,W,4.0
410,B,2.0
411,B,3.0
412,H,3.0
413,H,3.0
414,H,2.0
415,B,4.0
416,W,3.0
417,H,3.0
418,W,3.0
419,W,0.0
420,W,3.0
421,W,2.0
422,B,2.0
423,H,3.0
424,W,2.0
425,H,2.0
426,B,4.0
427,B,4.0
428,B,4.0
429,H,2.0
430,B,4.0
431,B,3.0
432,B,4.0
433,B,2.0
434,B,2.0
435,H,3.0
436,B,3.0
437,B,3.0
438,H,2.0
439,W,3.0
440,O,3.0
441,B,3.0
442,H,3.0
443,W,4.0
444,O,3.0
445,B,2.0
446,H,3.0
447,B,3.0
448,H,3.0
449,B,4.0
450,H,2.0
451,W,3.0
452,B,2.0
453,H,3.0
454,W,2.0
455,H,2.0
456,H,3.0
457,B,2.0
458,B,4.0
459,B,2.0
460,B,3.0
461,H,2.0
462,B,2.0
463,H,3.0
464,B,3.0
465,B,3.0
466,H,2.0
467,H,2.0
468,B,2.0
469,B,2.0
470,B,2.0
471,H,2.0
472,H,2.0
473,B,3.0
474,B,3.0
475,B,2.0
476,B,3.0
477,W,2.0
478,B,3.0
479,H,3.0
480,B,3.0
481,H,3.0
482,W,3.0
483,B,4.0
484,B,2.0
485,W,3.0
486,H,3.0
487,H,2.0
488,B,3.0
489,B,3.0
490,H,2.0
491,B,4.0
492,H,3.0
493,B,3.0
494,H,3.0
495,B,2.0
496,B,3.0
497,H,4.0
498,H,2.0
499,H,3.0
500,W,4.0
501,A,3.0
502,H,3.0
503,W,3.0
504,H,3.0
505,H,3.0
506,B,2.0
507,B,2.0
508,B,2.0
509,B,0.0
510,H,2.0
511,B,3.0
512,B,3.0
513,H,3.0
514,H,3.0
515,B,2.0
516,H,3.0
517,B,3.0
518,B,3.0
519,H,3.0
520,H,2.0
521,B,2.0
522,H,3.0
523,B,3.0
524,W,2.0
525,H,3.0
526,B,2.0
527,H,3.0
528,H,3.0
529,A,3.0
530,H,2.0
531,B,3.0
532,W,2.0
533,B,0.0
534,B,3.0
535,H,3.0
536,H,2.0
537,O,3.0
538,B,2.0
539,O,3.0
540,B,4.0
541,H,3.0
542,H,3.0
543,B,3.0
544,H,3.0
545,B,4.0
546,H,3.0
547,H,3.0
548,H,3.0
549,B,3.0
550,H,3.0
551,B,3.0
552,B,0.0
553,W,0.0
554,B,0.0
555,H,2.0
556,B,2.0
557,H,2.0
558,H,4.0
559,B,2.0
560,H,3.0
561,W,3.0
562,B,3.0
563,H,3.0
564,B,2.0
565,B,2.0
566,W,3.0
567,B,3.0
568,H,2.0
569,W,3.0
570,H,4.0
571,B,4.0
572,H,2.0
573,W,3.0
574,W,2.0
575,B,2.0
576,H,2.0
577,B,4.0
578,B,2.0
579,H,2.0
580,W,3.0
581,H,0.0
582,H,3.0
583,H,0.0
584,W,3.0
585,H,3.0
586,B,3.0
587,H,3.0
588,B,3.0
589,H,3.0
590,H,2.0
591,W,3.0
592,H,3.0
593,B,2.0
594,H,3.0
595,B,2.0
596,H,2.0
597,B,3.0
598,B,3.0
599,B,3.0
600,H,3.0
601,B,4.0
602,W,3.0
603,H,3.0
604,H,3.0
605,H,3.0
606,B,4.0
607,B,2.0
608,B,2.0
609,B,3.0
610,H,3.0
611,B,2.0
612,W,3.0
613,H,2.0
614,H,3.0
615,B,4.0
616,H,3.0
617,B,3.0
618,H,3.0
619,H,3.0
620,B,3.0
621,B,2.0
622,H,3.0
623,H,2.0
624,B,2.0
625,B,2.0
626,B,3.0
627,W,2.0
628,H,3.0
629,B,2.0
630,B,3.0
631,B,2.0
632,H,2.0
633,B,3.0
634,H,0.0
635,B,4.0
636,B,2.0
637,B,4.0
638,B,2.0
639,B,2.0
640,H,3.0
641,B,3.0
642,B,2.0
643,B,2.0
644,H,2.0
645,B,2.0
646,W,3.0
647,H,2.0
648,B,2.0
649,H,0.0
650,B,2.0
651,H,3.0
652,H,2.0
653,B,2.0
654,B,2.0
655,W,4.0
656,B,0.0
657,H,3.0
658,B,3.0
659,B,2.0
660,B,2.0
661,H,4.0
662,H,2.0
663,H,2.0
664,B,4.0
665,B,2.0
666,O,2.0
667,W,4.0
668,H,3.0
669,W,2.0
670,B,3.0
671,H,3.0
672,B,2.0
673,B,4.0
674,O,3.0
675,A,3.0
676,H,4.0
677,H,3.0
678,B,3.0
679,H,3.0
680,B,4.0
681,H,4.0
682,H,0.0
683,B,3.0
684,B,2.0
685,W,4.0
686,W,2.0
687,B,3.0
688,B,2.0
689,B,2.0
690,B,4.0
691,B,4.0
692,B,3.0
693,H,4.0
694,B,4.0
695,B,0.0
696,B,3.0
697,H,3.0
698,H,3.0
699,B,2.0
700,H,3.0
701,B,2.0
702,B,2.0
703,B,4.0
704,B,2.0
705,W,3.0
706,B,2.0
707,W,3.0
708,B,3.0
709,W,4.0
710,B,0.0
711,B,3.0
712,B,2.0
713,H,3.0
714,B,4.0
715,W,4.0
716,H,2.0
717,H,3.0
718,B,4.0
719,H,2.0
720,B,4.0
721,B,3.0
722,H,2.0
723,B,4.0
724,H,3.0
725,H,3.0
726,H,3.0
727,W,3.0
728,B,2.0
729,B,3.0
730,H,2.0
731,B,2.0
732,H,2.0
733,B,2.0
734,B,3.0
735,B,2.0
736,B,4.0
737,H,2.0
738,H,3.0
739,W,3.0
740,B,2.0
741,H,3.0
742,B,3.0
743,B,2.0
744,W,4.0
745,B,3.0
746,B,3.0
747,W,4.0
748,W,3.0
749,B,2.0
750,H,2.0
751,H,2.0
752,W,2.0
753,H,3.0
754,H,2.0
755,W,2.0
756,B,3.0
757,H,3.0
758,W,2.0
759,W,3.0
760,W,3.0
761,O,2.0
762,B,2.0
763,B,0.0
764,H,3.0
765,H,2.0
766,O,3.0
767,H,2.0
768,H,3.0
769,W,0.0
770,B,0.0
771,H,2.0
772,B,3.0
773,B,2.0
774,B,4.0
775,H,2.0
776,H,4.0
777,W,0.0
778,W,2.0
779,H,2.0
780,B,2.0
781,B,2.0
782,H,2.0
783,W,3.0
784,B,3.0
785,B,0.0
786,H,3.0
787,H,0.0
788,H,2.0
789,B,3.0
790,W,3.0
791,H,2.0
792,B,4.0
793,B,2.0
794,B,3.0
795,B,2.0
796,B,4.0
797,B,3.0
798,B,0.0
799,B,4.0
800,H,3.0
801,B,0.0
802,B,3.0
803,B,2.0
804,O,3.0
805,B,2.0
806,H,2.0
807,B,0.0
808,B,0.0
809,B,0.0
810,H,3.0
811,H,3.0
812,O,3.0
813,G,2.0
814,W,3.0
815,H,2.0
816,B,2.0
817,B,0.0
818,O,3.0
